Time;Frequency (Hz)1;Frequency (Hz)2;Frequency (Hz)3;Frequency (Hz)4;Frequency (Hz)5;Temp. sample ( C);Temp. (2e reading) ( C)
21390.1367;96.0628;12165.1;403.447;;;1325;1325
21450.1289;96.7755;12171.7;399.07;;;1320;1320
21510.0801;97.3069;12187.4;581.287;;;1315;1315
21570.2793;97.2751;12185.2;417.864;909.832;;1310;1310
21630.2656;12186.9;98.6924;399.782;;;1305;1305
21690.2676;96.7362;12198.4;415.837;1361.95;;1300;1300
21750.4551;12198.1;100.333;403.76;;;1295;1295
21810.3477;12202.2;100.509;414.306;;;1290;1290
21870.4395;12209.1;99.6448;421.049;;;1285;1285
21930.4727;12214.8;101.836;423.195;786.011;;1280;1280
21990.5039;12214.4;99.2103;431.056;696.742;;1275;1275
22050.707;12223.8;106.003;1287.02;416.788;;1270;1270
22110.7168;12232;107.091;669.871;;;1265;1265
22170.7324;12234;106.39;;;;1260;1260
22230.8926;12236.2;106.726;1328.58;;;1255;1255
22290.916;12242.4;107.715;461.686;;;1250;1250
22350.9121;12244.3;108.453;;;;1245;1245
22410.8809;12245.6;107.739;825.288;;;1240;1240
22471.0605;12247.1;108.02;;;;1235;1235
22531.0723;12249;107.794;;;;1230;1230
22591.0703;12250.6;109.44;504.759;;;1225;1225
22651.2285;12253.2;109.134;498.356;;;1220;1220
22711.2832;12253.7;108.942;;;;1215;1215
22771.293;12255;111.496;471.537;;;1210;1210
22831.3242;12254.5;108.751;;;;1205;1205
22891.3477;12257.3;110.635;;;;1200;1200
22951.3594;12258.3;110.564;477.228;;;1195;1195
23011.5234;12258.2;106.794;455.377;;;1190;1190
23071.543;12258.3;106.887;457.497;;;1185;1185
23131.5488;12257.7;102.483;;;;1180;1180
23191.5352;12259.7;101.746;;;;1175;1175
23251.7324;12261.5;101.385;;;;1170;1170
23311.7441;12262.6;100.54;;;;1165;1165
23371.752;12265.5;100.596;;;;1160;1160
23431.7168;12266.4;99.2617;271.47;;;1155;1155
23491.916;12268.6;98.6429;;;;1150;1150
23551.9687;12272;100.069;;;;1145;1145
23611.9238;12272.4;98.2407;;;;1140;1140
23671.957;12273.8;97.0831;102.328;;;1135;1135
23732.1504;12273.3;96.243;;;;1130;1130
23792.1387;12275.3;98.4113;;;;1125;1125
23852.1875;12277.2;94.7876;;;;1120;1120
23912.2285;12278.8;94.0976;;;;1115;1115
23972.1641;12276;94.5202;;;;1110;1110
24032.3672;12272.6;94.4477;;;;1105;1105
24092.3965;12274.8;95.6958;;;;1100;1100
24152.3652;12276.6;93.0942;;;;1095;1095
24212.4121;12276.3;92.8964;;;;1090;1090
24272.4199;12275.7;93.7402;;;;1085;1085
24332.5625;12276.7;91.9198;;;;1080;1080
24392.5723;12276.8;90.9593;;;;1075;1075
24452.5937;12279.9;88.7891;;;;1070;1070
24512.793;12279.4;87.6077;;;;1065;1065
24572.6641;12279.4;84.5272;;;;1060;1060
24632.832;12281.7;79.104;;;;1055;1055
24692.8672;12283.7;77.7012;;;;1050;1050
24752.8437;12282.8;74.2721;;;;1045;1045
24812.8711;12284.3;72.8567;;;;1040;1040
24873.0137;12287;73.6151;;;;1035;1035
24933.0527;12287.4;73.3242;257.97;;;1030;1030
24993.0762;12287.9;72.8268;;;;1025;1025
25053.084;12289.2;72.5906;179.036;;;1020;1020
25113.2637;12289.8;72.098;179.036;;;1015;1015
25173.2441;12291.6;71.5037;;;;1010;1010
25233.2363;12292.1;70.9792;;;;1005;1005
25293.4316;12291.6;70.0491;;;;1000;1000
25353.4434;12291.5;68.2855;242.59;;;995;995
25413.4395;12293.1;68.8698;241.783;;;990;990
25473.4609;12294.8;68.1771;;;;985;985
25533.5937;12296.6;64.129;251.539;;;980;980
25593.6191;12297.5;66.4487;249.455;;;975;975
25653.6016;12297.8;68.8702;;;;970;970
25713.7656;12297.4;69.6803;;;;965;965
25773.7754;12298.6;70.3079;;;;960;960
25833.752;12300.9;69.9608;;;;955;955
25893.7676;12302.6;69.2304;;;;950;950
25953.9609;12304;69.4944;;;;945;945
26013.9805;12310.6;69.4783;;;;940;940
26073.9512;12312.5;68.7977;;;;935;935
26134.1504;12313.2;68.3689;;;;930;930
26194.1953;12312.4;69.1801;;;;925;925
26254.0684;12309.9;69.4276;440.827;;;920;920
26314.252;12311.8;69.1309;;;;915;915
26374.25;12311.9;69.4459;;;;910;910
26434.2285;12313.6;66.552;;;;905;905
26494.2676;12316.8;66.8711;;;;900;900
26554.4707;12322.6;67.9279;;;;895;895
26614.4805;12340.5;;;;;890;890
26674.4883;12170.4;70.656;;;;885;885
26734.4609;11788.1;;;;;880;880
26794.666;11374.4;;;;;875;875
26854.6758;11000.3;68.2612;;;;870;870
26914.6758;10657.2;67.3231;8958.5;;;865;865
26974.8242;10522.3;8978.5;;;;860;860
27034.8613;10442.2;8969.98;;;;855;855
27094.8887;10386.6;68.9137;;;;850;850
27154.8965;10346.4;68.8196;8912.43;;;845;845
27214.9141;10314.4;67.8887;;;;840;840
27275.0625;10280.9;69.8024;;;;835;835
27335.0488;10265.4;70.0833;;;;830;830
27395.0703;10247.6;70.1649;9513.91;;;824;824
27455.0996;10233.7;66.4317;;;;820;820
27515.3047;10238;;;;;815;815
27575.3086;10223.6;70.063;8784.27;;;810;810
27635.2969;10218.4;70.9227;;;;805;805
27695.3164;10214.9;70.7496;;;;800;800
27755.5039;10207.9;70.6688;;;;795;795
27815.5469;10203.6;66.0504;8781.54;;;790;790
27875.498;10202.8;70.2372;;;;785;785
27935.6875;10204.6;70.3827;;;;780;780
27995.7363;10200.2;70.9885;8604.23;;;775;775
28055.6152;10190.9;71.9165;66.2227;;;770;770
28115.8437;10193.9;70.5905;;;;764;764
28175.8457;10188;70.6347;;;;760;760
28235.8496;10184.2;70.6341;61.3355;;;754;754
28295.832;10178.8;70.663;;;;750;750
28356.0449;10175;71.6443;;;;745;745
28416.0293;10170.6;;;;;740;740
28476.0234;10162.7;;;;;735;735
28536.0254;10154.6;;;;;730;730
28596.2246;10150.3;;;;;725;725
28656.1289;10145.9;;;;;719;719
28716.2871;10139.2;;;;;715;715
28776.2637;10137.3;70.7918;;;;710;710
28836.2656;10128;;;;;705;705
28896.4629;10120.4;105.569;;;;700;700
28956.5078;10116.1;;;;;694;694
29016.4707;10111.8;;;;;690;690
29076.4844;10107.5;104.1;;;;685;685
29136.6191;10109.6;71.7053;61.9702;;;679;679
29196.666;10102.9;66.7262;;;;675;675
29256.666;10089.7;;;;;670;670
29316.8555;10085.7;;;;;665;665
29376.8965;10080.2;;;;;660;660
29436.8633;10075.9;;;;;655;655
29496.8672;10071.5;;;;;650;650
29556.9082;10065.3;;;;;646;646
29617.0391;10060.3;69.2152;;;;641;641
29677.0605;10058.9;;;;;637;637
29737.0625;10053.5;;;;;633;633
29797.1289;10055.8;;;;;628;628
29857.1309;10051.3;;;;;624;624
29917.3359;10042.1;;;;;620;620
29977.2363;10050.3;;;;;615;615
30037.4219;10052.6;7557.04;;;;611;611
30097.3965;10050.7;;;;;607;607
30157.3848;10046.6;;;;;603;603
30217.5605;10048;9035.32;;;;599;599
30277.582;10046.1;;;;;596;596
30337.5645;10050.4;;;;;591;591
30397.7461;10046.2;9053.29;;;;588;588
30457.752;10046.7;;;;;584;584
30517.7246;10046.6;;;;;580;580
30577.8945;10053.3;;;;;576;576
30637.9492;10069.6;10065.7;9064.83;;;573;573
30697.9453;10076.8;;;;;569;569
30757.9219;10132.2;69.336;;;;565;565
30818.084;10178.7;69.3692;10554;;;561;561
30878.1289;10251.6;69.4943;10447.8;;;558;558
30938.0879;10319.7;10433.4;;;;554;554
30998.2441;10385.7;10387.7;69.2709;9043.92;;551;551
31058.2324;10427;70.7027;9907.55;9025.29;;547;547
31118.207;10447.7;72.5066;9628.67;;;544;544
31178.2207;10446.6;72.2471;9684.09;;;541;541
31238.3887;10439.4;72.4984;254.219;;;537;537
31298.3965;10423.7;71.9101;7277.68;;;534;534
31358.4023;10416.3;73.4279;;;;531;531
31418.5684;10413.3;73.1351;;;;528;528
31478.5879;10406.4;73.0927;;;;524;524
31538.5508;10404;73.5441;;;;521;521
31598.7422;10404.6;74.0934;;;;517;517
31658.7793;10399.1;74.2075;;;;514;514
31718.7871;10397.5;75.0181;;;;511;511
31778.7793;10393.7;75.2713;;;;508;508
31838.793;10394.3;82.0913;7234.33;;;505;505
31898.957;10390.4;79.1669;;;;502;502
31958.9648;10386.1;75.0543;;;;498;498
32018.9961;10380.8;75.9262;;;;496;496
32078.9961;10383;68.9975;;;;493;493
32139.1367;10373.9;71.8054;;;;489;489
32199.1875;10367.3;76.7021;256.883;;;486;486
32259.168;10357.3;76.3615;;;;484;484
32319.3535;10347.7;75.848;;;;480;480
32379.3848;10351.5;72.8364;;;;478;478
32439.3203;10347.9;;;;;475;475
32499.4863;10337.8;79.7966;10955.1;;;472;472
32559.543;10332.1;82.804;11019.9;;;469;469
32619.4941;10325.3;84.7215;;;;466;466
32679.498;10335.5;77.8363;10991.3;;;463;463
32739.6406;10574.5;83.6468;11060.3;;;460;460
32859.7109;10584.9;10439.5;120.433;;;455;455
32919.7109;10612.9;10362.1;80.4544;9502.78;;452;452
32979.8242;10374.2;10102;80.3691;9218.82;;449;449
33039.8437;10461.1;10053.3;;;;447;447
33100.0039;10497.4;82.3197;;;;444;444
33160.0391;10572.2;83.4886;10906.6;;;441;441
33220;10611.2;82.4441;10886.7;;;439;439
33280.0078;10646.1;81.745;10721;;;436;436
33340.1719;10642.8;10752.4;75.7395;;;433;433
33400.1875;10664.2;10800.1;74.8233;;;431;431
33460.2031;10672.9;78.3594;286.984;;;428;428
33520.2109;10673.1;74.3823;288.028;;;426;426
33580.3555;10683;75.3044;5699.81;;;423;423
33640.3984;10676.4;76.0123;286.026;5662.04;;420;420
33700.3828;10683.1;74.0876;289.86;6367.17;;418;418
33760.3867;10659.5;;;;;416;416
33820.5273;10677.7;74.4276;9013.29;;;413;413
33880.5273;10681.7;;;;;411;411
33940.543;10685.4;80.2613;;;;408;408
